example_id,seed,task_input_channel,task_target_channel,protocol_id,program_family,duration_s,energy_cost,training_reached_criterion,training_trials,compiled_event_count,stimulus_effect_norm,no_reset_spikes,stimmed_spikes,spike_delta,weight_delta_norm
0,1,8,9,inv_seed1_00000_anti_stdp_pairing,anti_stdp_pairing,0.2,0.001024,False,8,4,0.0,0,0,0,0.0
1,1,8,9,inv_seed1_00001_low_frequency_depotentiation,low_frequency_depotentiation,0.12,0.001024,False,8,4,0.0,0,0,0,0.0
2,1,8,9,inv_seed1_00002_colored_noise,colored_noise,0.2,0.007296,False,8,3,0.0,0,0,0,0.0
3,1,8,9,inv_seed1_00003_rest,rest,0.2,0.0,False,8,0,0.0,0,0,0,0.0
4,1,8,9,inv_seed1_00004_low_frequency_depotentiation,low_frequency_depotentiation,0.12,0.003072,False,8,8,0.0,0,0,0,0.0
5,1,8,9,inv_seed1_00005_anti_stdp_pairing,anti_stdp_pairing,0.2,0.001024,False,8,4,0.0,0,0,0,0.0
6,1,8,9,inv_seed1_00006_low_frequency_depotentiation,low_frequency_depotentiation,0.2,0.00192,False,8,5,0.0,0,0,0,0.0
7,1,8,9,inv_seed1_00007_low_frequency_depotentiation,low_frequency_depotentiation,0.12,0.001024,False,8,4,0.0,0,0,0,0.0
8,1,8,9,inv_seed1_00008_anti_stdp_pairing,anti_stdp_pairing,0.12,0.000768,False,8,2,0.0,0,0,0,0.0
9,1,8,9,inv_seed1_00009_rest,rest,0.12,0.0,False,8,0,0.0,0,0,0,0.0
10,1,8,9,inv_seed1_00010_anti_stdp_pairing,anti_stdp_pairing,0.12,0.000512,False,8,2,0.0,0,0,0,0.0
11,1,8,9,inv_seed1_00011_rest,rest,0.2,0.0,False,8,0,0.0,0,0,0,0.0
12,3,8,9,inv_seed3_00000_anti_stdp_pairing,anti_stdp_pairing,0.12,0.002304,False,8,6,0.0,0,0,0,0.0
13,3,8,9,inv_seed3_00001_low_frequency_depotentiation,low_frequency_depotentiation,0.12,0.002048,False,8,8,0.0,0,0,0,0.0
14,3,8,9,inv_seed3_00002_colored_noise,colored_noise,0.2,0.0012799999999999999,False,8,5,0.0,0,0,0,0.0
15,3,8,9,inv_seed3_00003_rest,rest,0.12,0.0,False,8,0,0.0,0,0,0,0.0
16,3,8,9,inv_seed3_00004_low_frequency_depotentiation,low_frequency_depotentiation,0.2,0.0017919999999999998,False,8,7,0.0,0,0,0,0.0
17,3,8,9,inv_seed3_00005_rest,rest,0.2,0.0,False,8,0,0.0,0,0,0,0.0
18,3,8,9,inv_seed3_00006_anti_stdp_pairing,anti_stdp_pairing,0.12,0.000512,False,8,2,0.0,0,0,0,0.0
19,3,8,9,inv_seed3_00007_colored_noise,colored_noise,0.2,0.000512,False,8,2,0.0,0,0,0,0.0
20,3,8,9,inv_seed3_00008_low_frequency_depotentiation,low_frequency_depotentiation,0.12,0.002048,False,8,8,0.0,0,0,0,0.0
21,3,8,9,inv_seed3_00009_anti_stdp_pairing,anti_stdp_pairing,0.2,0.00256,False,8,10,0.0,0,0,0,0.0
22,3,8,9,inv_seed3_00010_low_frequency_depotentiation,low_frequency_depotentiation,0.2,0.002048,False,8,8,0.0,0,0,0,0.0
23,3,8,9,inv_seed3_00011_colored_noise,colored_noise,0.12,0.0015359999999999998,False,8,6,0.0,0,0,0,0.0
