source_protocol_id,seed,duration_s,weight_erasure_reset,weight_erasure_no_reset,weight_erasure_delta,residual_performance_reset,residual_performance_no_reset,residual_performance_delta,savings_reset,savings_no_reset,savings_delta,trace_auc_proxy_reset,trace_auc_proxy_no_reset,trace_auc_proxy_delta,health_reset,health_no_reset,health_delta,post_delta_norm_reset,post_delta_norm_no_reset,post_delta_norm_delta,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta
high_burden_3s,1,3.0,-3.1772387082042206,-3.1772387082042206,0.0,0.25,0.25,0.0,6.250000517127319e-11,6.250000517127319e-11,0.0,0.5399018331295011,0.5399018331295011,0.0,0.10058848492177272,0.10058848492177272,0.0,92.67493895825442,92.67493895825442,0.0,3695,3695,0
high_burden_3s,3,3.0,-1.2101533788339753,-1.2101533788339753,0.0,0.75,0.75,0.0,-0.9999999999583336,-0.9999999999583336,0.0,0.5284972248114121,0.5284972248114121,0.0,0.09890706842918369,0.09890706842918369,0.0,168.63802873857142,168.63802873857142,0.0,3538,3538,0
high_burden_3s,4,3.0,-1.210006800945031,-1.210006800945031,0.0,0.375,0.375,0.0,-0.3333333333055557,-0.3333333333055557,0.0,0.5291209903253203,0.5291209903253203,0.0,0.09928550623830959,0.09928550623830959,0.0,169.63707235656622,169.63707235656622,0.0,3504,3504,0
low_burden_0.75s,1,0.75,-0.7451153121457621,-0.7451153121457621,0.0,0.5,0.5,0.0,-2.49999999978125,-2.49999999978125,0.0,0.5255840163211998,0.5255840163211998,0.0,0.0976416807532023,0.0976416807532023,0.0,38.71659398123074,38.71659398123074,0.0,923,923,0
low_burden_0.75s,3,0.75,-0.283005806629385,-0.283005806629385,0.0,0.375,0.375,0.0,-0.9999999999583336,-0.9999999999583336,0.0,0.5355013260517754,0.5355013260517754,0.0,0.10191473021495288,0.10191473021495288,0.0,97.89527376795385,97.89527376795385,0.0,914,914,0
low_burden_0.75s,4,0.75,-0.2836788897920244,-0.2836788897920244,0.0,0.625,0.625,0.0,-0.6666666666319445,-0.6666666666319445,0.0,0.5308772614158093,0.5308772614158093,0.0,0.09917693813473065,0.09917693813473065,0.0,98.5334201764126,98.5334201764126,0.0,827,827,0
mid_burden_1.5s,1,1.5,-1.4539839688671474,-1.4539839688671474,0.0,0.75,0.75,0.0,-0.4999999999062501,-0.4999999999062501,0.0,0.5283712860878252,0.5283712860878252,0.0,0.09950371639383812,0.09950371639383812,0.0,54.44333695190381,54.44333695190381,0.0,1877,1877,0
mid_burden_1.5s,3,1.5,-0.5531200357587513,-0.5531200357587513,0.0,0.625,0.625,0.0,0.16666666668402774,0.16666666668402774,0.0,0.5220899928942935,0.5220899928942935,0.0,0.10011129396431978,0.10011129396431978,0.0,118.5053959299945,118.5053959299945,0.0,1742,1742,0
mid_burden_1.5s,4,1.5,-0.5538771967752436,-0.5538771967752436,0.0,0.625,0.625,0.0,-1.4999999999479168,-1.4999999999479168,0.0,0.5520881353270893,0.5520881353270893,0.0,0.10118748584043451,0.10118748584043451,0.0,119.27346936211379,119.27346936211379,0.0,1746,1746,0
