task,seed,condition,score,criterion,distance_from_naive,distance_from_trained,edges_changed_fraction
conditioned_electrode_association,1,trained,0.5625,0.4,26.621750092122845,0.0,
conditioned_electrode_association,1,naive_replacement,0.0,0.4,0.0,26.621750092122845,
conditioned_electrode_association,1,zero_all,0.0,0.4,197.84471483464534,199.96251869962347,
conditioned_electrode_association,1,shuffle_magnitudes,0.0,0.4,115.11960786373906,115.91169527172872,
conditioned_electrode_association,1,anti_training_delta,1.0,0.4,42.25452525707844,26.045635384155435,
conditioned_electrode_association,1,random_matched,0.5625,0.4,36.884126712705346,26.601512718265163,
conditioned_electrode_association,1,zero_input_to_target_path,0.0,0.4,26.971235075563524,10.371216803108851,0.0009829107910791079
conditioned_electrode_association,1,zero_target_incoming,0.0,0.4,36.04754297681535,31.159259729070047,0.020647377237723773
conditioned_electrode_association,1,zero_input_outgoing,0.0,0.4,31.39356777155608,27.870802215791876,0.009899427442744274
conditioned_electrode_association,3,trained,0.5625,0.4,29.886260038524682,0.0,
conditioned_electrode_association,3,naive_replacement,0.0,0.4,0.0,29.886260038524682,
conditioned_electrode_association,3,zero_all,0.0,0.4,198.90535604574396,201.6628879262892,
conditioned_electrode_association,3,shuffle_magnitudes,0.0,0.4,116.85499610633593,117.9769999054387,
conditioned_electrode_association,3,anti_training_delta,1.0,0.4,48.41051055115343,29.09869411068579,
conditioned_electrode_association,3,random_matched,0.5625,0.4,41.352810981194644,29.84497301264758,
conditioned_electrode_association,3,zero_input_to_target_path,0.0,0.4,30.02102360027431,10.350818676646448,0.0009813634701512362
conditioned_electrode_association,3,zero_target_incoming,0.0,0.4,37.564297818111015,30.646323412887174,0.020439863359200908
conditioned_electrode_association,3,zero_input_outgoing,0.0,0.4,32.266349931611046,28.20988594550766,0.009499535883836568
conditioned_electrode_association,4,trained,0.6875,0.4,17.68772581012309,0.0,
conditioned_electrode_association,4,naive_replacement,0.0,0.4,0.0,17.68772581012309,
conditioned_electrode_association,4,zero_all,0.0,0.4,197.98112228231966,198.7505865754081,
conditioned_electrode_association,4,shuffle_magnitudes,0.0,0.4,113.18087266848568,113.84950870689558,
conditioned_electrode_association,4,anti_training_delta,1.0,0.4,27.505811476429415,15.34553579344278,
conditioned_electrode_association,4,random_matched,0.6875,0.4,24.750588178458205,17.682327350451974,
conditioned_electrode_association,4,zero_input_to_target_path,0.0,0.4,18.647977593331657,8.580048257482101,0.0010719754977029097
conditioned_electrode_association,4,zero_target_incoming,0.0,0.4,32.38655269204042,29.261754506647897,0.02103790980404413
conditioned_electrode_association,4,zero_input_outgoing,0.0,0.4,26.58807698156532,24.89565529949255,0.011399506203706597
pattern_discrimination,1,trained,0.5,0.35,32.586964474826445,0.0,
pattern_discrimination,1,naive_replacement,0.0,0.35,0.0,32.586964474826445,
pattern_discrimination,1,zero_all,0.0,0.35,197.84471483464534,200.70797511800745,
pattern_discrimination,1,shuffle_magnitudes,0.0,0.35,116.52395142188664,117.95245152124582,
pattern_discrimination,1,anti_training_delta,1.0,0.35,49.34949187440986,30.702384720603327,
pattern_discrimination,1,random_matched,0.5,0.35,44.81023140320665,32.49726978455382,
pattern_discrimination,1,zero_input_to_target_path,0.0,0.35,33.91001083387268,14.889137754525489,0.0029706095609560957
pattern_discrimination,1,zero_target_incoming,0.0,0.35,48.333252622561126,42.352008496346244,0.04203232823282328
pattern_discrimination,1,zero_input_outgoing,0.0,0.35,40.823710102386876,36.563897427308916,0.020100447544754475
pattern_discrimination,3,trained,0.46875,0.35,41.32617481997585,0.0,
pattern_discrimination,3,naive_replacement,0.0,0.35,0.0,41.32617481997585,
pattern_discrimination,3,zero_all,0.0,0.35,198.90535604574396,203.93147880042625,
pattern_discrimination,3,shuffle_magnitudes,-0.34375,0.35,120.32770515260374,122.09086922612575,
pattern_discrimination,3,anti_training_delta,1.0,0.35,65.92663618807677,40.463379795233756,
pattern_discrimination,3,random_matched,0.5,0.35,56.366337916748286,41.03220644947852,
pattern_discrimination,3,zero_input_to_target_path,0.0,0.35,42.15690117215754,16.43067927171376,0.0032519385053896856
pattern_discrimination,3,zero_target_incoming,0.0,0.35,54.29188615832594,46.11499783423522,0.04470516903516969
pattern_discrimination,3,zero_input_outgoing,0.0,0.35,46.381395652745844,41.91716554832948,0.02270106231032963
pattern_discrimination,4,trained,0.5,0.35,26.75343475317254,0.0,
pattern_discrimination,4,naive_replacement,0.0,0.35,0.0,26.75343475317254,
pattern_discrimination,4,zero_all,0.0,0.35,197.98112228231966,199.79472525706117,
pattern_discrimination,4,shuffle_magnitudes,0.0,0.35,114.80498232642074,116.22042427485006,
pattern_discrimination,4,anti_training_delta,1.0,0.35,40.87164239586564,23.43825536705798,
pattern_discrimination,4,random_matched,0.4375,0.35,37.132300207537696,26.71667289272773,
pattern_discrimination,4,zero_input_to_target_path,0.0,0.35,28.909397686289015,14.557369032705399,0.0034190705378629245
pattern_discrimination,4,zero_target_incoming,0.0,0.35,47.220357583347386,42.625583317258595,0.04442135200175017
pattern_discrimination,4,zero_input_outgoing,0.0,0.35,38.69476216358121,36.121691117632835,0.02320061255742726
